Джордж Оруэлл ;«1984»;1949;300;старое;Роман-антиутопия о тоталитарном обществе будущего где правительство контролирует каждый аспект жизни граждан. 
Федор Достоевский ;Преступление и наказание ;1866;600;новое;Роман о молодом студенте совершившем преступление и его внутренней борьбе с собой. 
Лев Толстой ;Война и мир ;1869;700;старое;Эпический роман о судьбах нескольких аристократических семей во время войн Наполеона. 
Джейн Остин ;Гордость и предубеждение ;1813;200;новое;Классический роман о любви и предрассудках в английском обществе начала XIX века. 
Александр Пушкин ;Евгений Онегин ;1833;500;старое;Роман в стихах о любви и судьбе героя. 
Рэй Брэдбери ;451 градус по Фаренгейту  ;1953;230;старое;Фантастическая антиутопия где книги запрещены а пожарные служат для их сжигания. 
Антон Чехов ;Вишневый сад ;1904;400;новое;Пьеса о судьбе знатного рода и их усадьбе превращенной в вишневый сад. 
Джордж Р. Р. Мартин ;Игра престолов ;1996;310;новое;Первая книга цикла Песнь Льда и Пламени о борьбе властолюбивых семей за Железный Трон Семи Королевств. 
Михаил Булгаков ;Мастер и Маргарита ;1966;550;новое;Роман о дьяволе и его приключениях в Советском Союзе. 
Иван Тургенев ;Отцы и дети ;1862;450;новое;Роман о столкновении поколений и идейных различий между отцами и их детьми. 
Иван Гончаров ;Обломов ;1859;350;новое;Роман о ленивом дворянине который не может преодолеть свою пассивность. 
Николай Гоголь ;Мертвые души ;1842;500;старое;Поэтическая поэма о путешествии мошенника по России пытающегося купить мертвые души. 
Анна Ахматова ;Реквием ;1963;300;новое;Сборник поэтических произведений посвященных трагедии советского народа во время сталинских репрессий. 
Сергей Есенин ;Избранное ;1925;200;новое;Сборник стихотворений одного из самых известных русских поэтов XX века. 
